X,Z,Magnitude,Flux
0.0,-29.999999999999982,0.5832185746876206,0.0
0.0,-29.89999999999999,0.581887465104595,0.0
0.0,-29.800000000000004,0.5805586135640901,0.0
0.0,-29.70000000000001,0.5792320199864232,0.0
0.0,-29.59999999999998,0.5779076842929443,0.0
0.0,-29.5,0.5765856064060407,0.0
0.0,-29.400000000000006,0.5752657862491312,0.0
0.0,-29.300000000000008,0.5739482237466683,0.0
0.0,-29.19999999999998,0.5726329188241405,0.0
0.0,-29.099999999999998,0.5713198714080696,0.0
0.0,-29.000000000000004,0.5700090814260134,0.0
0.0,-28.900000000000013,0.5687005488065592,0.0
0.0,-28.799999999999983,0.5673942734793316,0.0
0.0,-28.699999999999992,0.5660902553749912,0.0
0.0,-28.6,0.5647884944252277,0.0
0.0,-28.500000000000014,0.5634889905627706,0.0
0.0,-28.39999999999998,0.562191743721378,0.0
0.0,-28.29999999999999,0.5608967538358459,0.0
0.0,-28.200000000000003,0.5596040208420041,0.0
0.0,-28.100000000000016,0.5583135446767146,0.0
0.0,-27.99999999999998,0.5570253252778744,0.0
0.0,-27.89999999999999,0.5557393625844166,0.0
0.0,-27.800000000000004,0.5544556565363052,0.0
0.0,-27.700000000000014,0.5531742070745401,0.0
0.0,-27.59999999999998,0.5518950141411543,0.0
0.0,-27.499999999999993,0.5506180776792184,0.0
0.0,-27.400000000000002,0.5493433976328319,0.0
0.0,-27.30000000000001,0.5480709739471307,0.0
0.0,-27.19999999999998,0.5468008065682876,0.0
0.0,-27.09999999999999,0.5455328954435041,0.0
0.0,-27.0,0.5442672405210213,0.0
0.0,-26.900000000000013,0.5430038417501105,0.0
0.0,-26.799999999999972,0.541742699081077,0.0
0.0,-26.69999999999999,0.5404838124652648,0.0
0.0,-26.6,0.5392271818550474,0.0
0.0,-26.500000000000007,0.537972807203834,0.0
0.0,-26.399999999999974,0.536720688466067,0.0
0.0,-26.29999999999999,0.5354708255972253,0.0
0.0,-26.200000000000003,0.5342232185538206,0.0
0.0,-26.100000000000005,0.5329778672933975,0.0
0.0,-25.99999999999998,0.5317347717745351,0.0
0.0,-25.89999999999999,0.5304939319568496,0.0
0.0,-25.8,0.5292553478009872,0.0
0.0,-25.700000000000006,0.5280190192686309,0.0
0.0,-25.59999999999998,0.526784946322496,0.0
0.0,-25.49999999999999,0.5255531289263352,0.0
0.0,-25.4,0.5243235670449304,0.0
0.0,-25.300000000000004,0.5230962606441022,0.0
0.0,-25.199999999999978,0.5218712096907027,0.0
0.0,-25.099999999999987,0.5206484141526179,0.0
0.0,-25.0,0.519427873998771,0.0
0.0,-24.90000000000001,0.5182095891991153,0.0
0.0,-24.799999999999976,0.5169935597246406,0.0
0.0,-24.69999999999999,0.5157797855473714,0.0
0.0,-24.6,0.5145682666403639,0.0
0.0,-24.500000000000007,0.5133590029777104,0.0
0.0,-24.399999999999977,0.5121519945345361,0.0
0.0,-24.29999999999999,0.5109472412870021,0.0
0.0,-24.2,0.5097447432123019,0.0
0.0,-24.10000000000001,0.5085445002886637,0.0
0.0,-23.99999999999998,0.5073465124953496,0.0
0.0,-23.899999999999988,0.5061507798126564,0.0
0.0,-23.799999999999997,0.5049573022219149,0.0
0.0,-23.700000000000006,0.5037660797054899,0.0
0.0,-23.599999999999977,0.5025771122467789,0.0
0.0,-23.499999999999986,0.5013903998302163,0.0
0.0,-23.400000000000002,0.5002059424412688,0.0
0.0,-23.300000000000008,0.4990237400664375,0.0
0.0,-23.199999999999974,0.4978437926932577,0.0
0.0,-23.099999999999987,0.4966661003102991,0.0
0.0,-23.0,0.49549066290716537,0.0
0.0,-22.90000000000001,0.49431748047449386,0.0
0.0,-22.799999999999976,0.4931465530039561,0.0
0.0,-22.69999999999999,0.4919778804882592,0.0
0.0,-22.6,0.4908114629211426,0.0
0.0,-22.500000000000007,0.4896473002973813,0.0
0.0,-22.399999999999974,0.4884853926127813,0.0
0.0,-22.299999999999983,0.487325739864188,0.0
0.0,-22.2,0.4861683420494772,0.0
0.0,-22.10000000000001,0.4850131991675584,0.0
0.0,-21.99999999999997,0.48386031121837736,0.0
0.0,-21.899999999999984,0.4827096782029135,0.0
0.0,-21.8,0.4815613001231794,0.0
0.0,-21.70000000000001,0.4804151769822224,0.0
0.0,-21.599999999999973,0.4792713087841234,0.0
0.0,-21.499999999999982,0.47812969553399975,0.0
0.0,-21.4,0.47699033723799905,0.0
0.0,-21.300000000000008,0.47585323390330575,0.0
0.0,-21.19999999999997,0.4747183855381373,0.0
0.0,-21.099999999999984,0.47358579215174645,0.0
0.0,-21.0,0.4724554537544193,0.0
0.0,-20.900000000000006,0.4713273703574756,0.0
0.0,-20.799999999999972,0.47020154197326974,0.0
0.0,-20.699999999999985,0.46907796861519113,0.0
0.0,-20.599999999999998,0.46795665029766176,0.0
0.0,-20.500000000000007,0.4668375870361396,0.0
0.0,-20.39999999999997,0.4657207788471128,0.0
0.0,-20.299999999999983,0.46460622574810856,0.0
0.0,-20.200000000000003,0.4634939277576855,0.0
0.0,-20.10000000000001,0.4623838848954373,0.0
0.0,-19.99999999999997,0.4612760971819901,0.0
0.0,-19.899999999999984,0.46017056463900785,0.0
0.0,-19.799999999999997,0.4590672872891832,0.0
0.0,-19.70000000000001,0.4579662651562487,0.0
0.0,-19.599999999999973,0.45686749826496686,0.0
0.0,-19.499999999999986,0.45577098664113447,0.0
0.0,-19.399999999999995,0.4546767303115862,0.0
0.0,-19.300000000000008,0.4535847293041876,0.0
0.0,-19.199999999999974,0.4524949836478386,0.0
